서울시 기준일,서울시 확진자,서울시 추가 확진,서울시 치료중,서울시 퇴원,서울시 추가 퇴원,서울시 사망,전국 기준일,전국 확진,전국 추가 확진,전국 치료중,전국 퇴원,전국 사망
2021-07-15 00:00:00,56573,520,6133,49915,520,525,2021-07-15 00:00:00,173511,1600,14952,156509,2050
2021-07-14 00:00:00,56053,638,6134,49395,315,524,2021-07-14 00:00:00,171911,1615,14372,155491,2048
2021-07-13 00:00:00,55415,417,5812,49080,131,523,2021-07-13 00:00:00,170296,1150,13498,154752,2046
2021-07-12 00:00:00,54998,403,5526,48949,130,523,2021-07-12 00:00:00,169146,1100,12915,154187,2044
2021-07-11 00:00:00,54595,509,5253,48819,277,523,2021-07-11 00:00:00,168046,1324,12243,153760,2043
2021-07-10 00:00:00,54086,509,5023,48542,275,521,2021-07-10 00:00:00,166722,1378,11531,153153,2038
2021-07-09 00:00:00,53577,503,4791,48267,201,519,2021-07-09 00:00:00,165344,1316,10810,152498,2036
2021-07-08 00:00:00,53074,550,4490,48066,127,518,2021-07-08 00:00:00,164028,1275,10071,151923,2034
2021-07-07 00:00:00,52524,583,4067,47939,308,518,2021-07-07 00:00:00,162753,1212,9220,151500,2033
2021-07-06 00:00:00,51941,320,3792,47631,234,518,2021-07-06 00:00:00,161541,746,8749,150760,2032
2021-07-05 00:00:00,51621,307,3707,47397,190,517,2021-07-05 00:00:00,160795,711,8723,150044,2028
2021-07-04 00:00:00,51314,289,3591,47207,159,516,2021-07-04 00:00:00,160084,743,8444,149614,2026
2021-07-03 00:00:00,51026,359,3462,47048,380,516,2021-07-03 00:00:00,159342,794,8185,149132,2025
2021-07-02 00:00:00,50668,347,3485,46668,75,515,2021-07-02 00:00:00,158549,826,8206,148319,2024
2021-07-01 00:00:00,50321,334,3214,46593,92,514,2021-07-01 00:00:00,157723,762,7678,148024,2021
2021-06-30 00:00:00,49987,375,2973,46501,350,513,2021-06-30 00:00:00,156961,794,7250,147693,2018
2021-06-29 00:00:00,49612,205,2948,46151,65,513,2021-06-29 00:00:00,156167,595,7073,147077,2017
2021-06-28 00:00:00,49407,185,2808,46086,88,513,2021-06-28 00:00:00,155572,501,6882,146675,2015
2021-06-27 00:00:00,49222,242,2712,45998,111,512,2021-06-27 00:00:00,155071,614,6718,146340,2013
2021-06-26 00:00:00,48980,263,2581,45887,177,512,2021-06-26 00:00:00,154457,668,6456,145989,2012
2021-06-25 00:00:00,48717,269,2496,45710,319,511,2021-06-25 00:00:00,153789,634,6391,145389,2009
2021-06-24 00:00:00,48448,252,2547,45391,124,510,2021-06-24 00:00:00,153155,610,6359,144788,2008
2021-06-23 00:00:00,48196,236,2419,45267,137,510,2021-06-23 00:00:00,152545,645,6159,144379,2007
2021-06-22 00:00:00,47961,132,2322,45130,201,509,2021-06-22 00:00:00,151901,395,6078,143817,2006
2021-06-21 00:00:00,47829,134,2392,44929,124,508,2021-06-21 00:00:00,151506,357,6234,143268,2004
2021-06-20 00:00:00,47695,165,2383,44805,188,507,2021-06-20 00:00:00,151149,429,6248,142899,2002
2021-06-19 00:00:00,47530,197,2407,44617,143,506,2021-06-19 00:00:00,150720,482,6338,142385,1997
2021-06-18 00:00:00,47333,200,2354,44474,392,505,2021-06-18 00:00:00,150238,507,6426,141816,1996
2021-06-17 00:00:00,47133,201,2547,44082,184,504,2021-06-17 00:00:00,149731,540,6708,141029,1994
2021-06-16 00:00:00,46932,201,2531,43898,253,503,2021-06-16 00:00:00,149192,545,6760,140438,1994
2021-06-15 00:00:00,46732,132,2585,43645,241,502,2021-06-15 00:00:00,148647,374,6922,139733,1992
2021-06-14 00:00:00,46600,122,2695,43404,108,501,2021-06-14 00:00:00,148273,399,7263,139022,1988
2021-06-13 00:00:00,46478,176,2681,43296,122,501,2021-06-13 00:00:00,147874,452,7308,138581,1985
2021-06-12 00:00:00,46302,208,2629,43174,399,499,2021-06-12 00:00:00,147422,565,7403,138037,1982
2021-06-11 00:00:00,46096,204,2822,42775,148,499,2021-06-11 00:00:00,146859,556,7654,137224,1981
2021-06-10 00:00:00,45892,213,2766,42627,201,499,2021-06-10 00:00:00,146303,611,7611,136713,1979
2021-06-09 00:00:00,45679,183,2754,42426,134,499,2021-06-09 00:00:00,145692,602,7541,136174,1977
2021-06-08 00:00:00,45497,139,2707,42292,196,498,2021-06-08 00:00:00,145091,454,7704,135412,1975
2021-06-07 00:00:00,45358,159,2765,42096,334,497,2021-06-07 00:00:00,144637,485,7802,134861,1974
2021-06-06 00:00:00,45199,179,2940,41762,151,497,2021-06-06 00:00:00,144152,556,7917,134262,1973
2021-06-05 00:00:00,45020,277,2913,41611,117,496,2021-06-05 00:00:00,143596,744,7862,133763,1971
2021-06-04 00:00:00,44743,206,2753,41494,100,496,2021-06-04 00:00:00,142852,695,7594,133289,1969
2021-06-03 00:00:00,44537,215,2648,41394,232,495,2021-06-03 00:00:00,142157,681,7490,132699,1968
2021-06-02 00:00:00,44322,258,2668,41162,130,492,2021-06-02 00:00:00,141476,677,7443,132068,1965
2021-06-01 00:00:00,44064,147,2541,41032,217,491,2021-06-01 00:00:00,140799,459,7373,131463,1963
2021-05-31 00:00:00,43917,130,2614,40815,136,488,2021-05-31 00:00:00,140340,430,7558,130823,1959
2021-05-30 00:00:00,43787,160,2620,40679,90,488,2021-05-30 00:00:00,139910,480,7572,130381,1957
2021-05-29 00:00:00,43627,194,2552,40589,533,486,2021-05-29 00:00:00,139431,533,7741,129739,1951
2021-05-28 00:00:00,43433,214,2892,40056,202,485,2021-05-28 00:00:00,138898,587,8191,128761,1946
2021-05-27 00:00:00,43219,218,2883,39854,174,482,2021-05-27 00:00:00,138311,629,8188,128180,1943
2021-05-26 00:00:00,43001,262,2840,39680,234,481,2021-05-26 00:00:00,137682,707,8160,127582,1940
2021-05-25 00:00:00,42739,138,2813,39446,170,480,2021-05-25 00:00:00,136983,516,8052,126993,1938
2021-05-24 00:00:00,42601,139,2845,39276,124,480,2021-05-24 00:00:00,136467,538,8106,126427,1934
2021-05-23 00:00:00,42462,181,2830,39152,289,480,2021-05-23 00:00:00,135929,585,8117,125881,1931
2021-05-22 00:00:00,42281,208,2938,38863,450,480,2021-05-22 00:00:00,135344,666,8386,125032,1926
2021-05-21 00:00:00,42073,172,3181,38413,143,479,2021-05-21 00:00:00,134678,561,8598,124158,1922
2021-05-20 00:00:00,41901,242,3156,38270,151,475,2021-05-20 00:00:00,134117,646,8542,123659,1916
2021-05-19 00:00:00,41659,249,3066,38119,159,474,2021-05-19 00:00:00,133471,654,8322,123237,1912
2021-05-18 00:00:00,41410,172,2978,37960,126,472,2021-05-18 00:00:00,132818,528,8283,122631,1904
2021-05-17 00:00:00,41238,195,2932,37834,113,472,2021-05-17 00:00:00,132290,619,8224,122163,1903
2021-05-16 00:00:00,41043,213,2851,37721,164,471,2021-05-16 00:00:00,131671,610,8007,121764,1900
2021-05-15 00:00:00,40830,254,2805,37557,387,468,2021-05-15 00:00:00,131061,681,7883,121282,1896
2021-05-14 00:00:00,40576,231,2938,37170,153,468,2021-05-14 00:00:00,130380,747,8092,120395,1893
2021-05-13 00:00:00,40345,227,2860,37017,127,468,2021-05-13 00:00:00,129633,715,7836,119906,1891
2021-05-12 00:00:00,40118,223,2762,36890,151,466,2021-05-12 00:00:00,128918,635,7661,119373,1884
2021-05-12 00:00:00,40118,223,2762,36890,151,466,2021-05-12 00:00:00,128918,635,7661,119373,1884
2021-05-11 00:00:00,39895,163,2692,36739,214,464,2021-05-11 00:00:00,128283,511,7687,118717,1879
2021-05-10 00:00:00,39732,141,2745,36525,127,462,2021-05-10 00:00:00,127772,463,8053,117844,1875
2021-05-09 00:00:00,39591,195,2731,36398,127,462,2021-05-09 00:00:00,127309,564,8012,117423,1874
2021-05-08 00:00:00,39396,242,2666,36271,423,459,2021-05-08 00:00:00,126745,701,7999,116881,1865
2021-05-07 00:00:00,39154,179,2849,35848,180,457,2021-05-07 00:00:00,126044,525,8162,116022,1860
2021-05-06 00:00:00,38975,212,2854,35668,120,453,2021-05-06 00:00:00,125519,574,8177,115491,1851
2021-05-05 00:00:00,38763,238,2763,35548,189,452,2021-05-05 00:00:00,124945,676,8154,114944,1847
2021-05-04 00:00:00,38525,184,2714,35359,250,452,2021-05-04 00:00:00,124269,541,8301,114128,1840
2021-05-03 00:00:00,38341,127,2781,35109,58,451,2021-05-03 00:00:00,123728,488,8538,113356,1834
2021-05-02 00:00:00,38214,182,2712,35051,143,451,2021-05-02 00:00:00,123240,606,8542,112865,1833
2021-05-01 00:00:00,38032,195,2674,34908,431,450,2021-05-01 00:00:00,122634,627,8466,112337,1831
2021-04-30 00:00:00,37837,227,2912,34477,148,448,2021-04-30 00:00:00,122007,661,8757,111422,1828
2021-04-29 00:00:00,37610,227,2834,34329,117,447,2021-04-29 00:00:00,121351,680,8739,110787,1825
